id,language,language_iso
100,English,en
10000,Español,es
10001,English,en
100010,English,en
100017,Deutsch,de
10002,English,en
100024,English,en
10003,English,en
10003,Pусский,ru
100032,English,en
100033,日本語,ja
10004,English,en
100042,English,en
100046,English,en
10005,English,en
10005,Pусский,ru
100057,English,en
10006,English,en
100061,پښتو,ps
100063,English,en
10007,English,en
10008,English,en
100086,ਪੰਜਾਬੀ,pa
100086,اردو,ur
100088,English,en
100089,English,en
10009,Hrvatski,hr
10009,English,en
10009,"",iu
10010,English,en
10011,English,en
100110,English,en
10012,English,en
100122,Español,es
10013,English,en
10014,English,en
10015,Español,es
10015,English,en
10016,English,en
100167,English,en
10017,English,en
100179,English,en
10018,Deutsch,de
100183,English,en
10019,English,en
100196,English,en
10020,Français,fr
10020,English,en
100205,English,en
10021,English,en
100215,Magyar,hu
10022,English,en
10022,한국어/조선말,ko
100224,English,en
100224,Deutsch,de
10023,English,en
10024,Hrvatski,hr
10024,English,en
100241,English,en
100243,Deutsch,de
100246,English,en
100247,English,en
10025,English,en
100257,English,en
10027,English,en
10027,Deutsch,de
10027,Español,es
100270,Español,es
100271,日本語,ja
100272,English,en
100274,English,en
100275,English,en
10028,English,en
100287,Dansk,da
100288,Italiano,it
10029,English,en
10030,English,en
10032,English,en
10033,English,en
10034,English,en
100341,Český,cs
10035,English,en
100351,English,en
10036,Deutsch,de
10037,English,en
10037,"",tl
10040,English,en
100402,English,en
10041,English,en
100416,English,en
100420,English,en
10044,广州话 / 廣州話,cn
10045,Français,fr
100450,English,en
10046,English,en
10046,Français,fr
10046,Deutsch,de
10046,Español,es
100461,日本語,ja
100468,Italiano,it
10047,English,en
10047,Latin,la
10048,English,en
10048,Deutsch,de
10048,한국어/조선말,ko
10048,Pусский,ru
10048,Español,es
10049,Český,cs
10049,English,en
100490,English,en
100493,English,en
10050,English,en
10051,日本語,ja
10051,English,en
10051,Français,fr
10052,English,en
10052,Español,es
100526,English,en
100528,English,en
100529,English,en
10053,English,en
10054,Español,es
10054,English,en
100540,English,en
100544,English,en
10055,English,en
10055,Deutsch,de
10055,Pусский,ru
10056,English,en
100568,English,en
10057,English,en
100592,Český,cs
100594,suomi,fi
10060,English,en
10061,English,en
10063,English,en
100632,English,en
10064,English,en
10065,English,en
100656,English,en
10066,English,en
10066,Pусский,ru
100661,English,en
100669,English,en
10067,English,en
100671,English,en
10068,English,en
100681,हिन्दी,hi
100683,English,en
10069,English,en
10070,English,en
10071,English,en
10072,English,en
10073,English,en
10074,English,en
100747,English,en
10075,English,en
10075,Polski,pl
10075,Português,pt
10077,English,en
10077,普通话,zh
100770,English,en
100776,English,en
10078,English,en
100784,Pусский,ru
100791,Pусский,ru
100794,Italiano,it
10081,English,en
100812,Italiano,it
100814,English,en
100825,English,en
10083,Pусский,ru
10083,English,en
100830,Français,fr
10085,English,en
10085,Deutsch,de
10086,Français,fr
10086,Italiano,it
10087,English,en
10089,English,en
100894,English,en
100894,Italiano,it
100894,"",yi
100898,Nederlands,nl
10090,English,en
10090,Español,es
100910,English,en
10092,English,en
10092,Deutsch,de
10092,Português,pt
100923,日本語,ja
10093,English,en
10094,English,en
10096,English,en
10096,Français,fr
10096,Português,pt
10097,English,en
100973,svenska,sv
100975,English,en
10098,No Language,xx
101,English,en
101006,Español,es
10102,Italiano,it
10102,Français,fr
101024,广州话 / 廣州話,cn
101029,English,en
10103,한국어/조선말,ko
101030,Deutsch,de
101030,Español,es
101030,English,en
10105,English,en
10105,Deutsch,de
101056,English,en
10107,English,en
10109,普通话,zh
10110,English,en
10110,日本語,ja
10110,普通话,zh
10111,English,en
10112,English,en
101124,普通话,zh
101125,Deutsch,de
101125,English,en
101135,English,en
10115,English,en
10116,English,en
10116,日本語,ja
10116,ภาษาไทย,th
10117,English,en
10117,Français,fr
101173,English,en
101176,English,en
101179,English,en
10118,English,en
101183,Français,fr
101185,English,en
10119,Norsk,no
101190,Polski,pl
10120,English,en
101206,English,en
101217,Türkçe,tr
10122,English,en
101226,English,en
101230,Nederlands,nl
101230,English,en
101231,Italiano,it
10124,English,en
101242,English,en
10125,Hrvatski,hr
10126,English,en
10126,Español,es
101267,English,en
10127,English,en
10128,English,en
101281,English,en
101288,English,en
101289,English,en
10129,Deutsch,de
101293,English,en
101297,English,en
101297,Deutsch,de
101299,English,en
10130,English,en
101307,English,en
101308,English,en
101308,Français,fr
10131,English,en
10132,English,en
101320,English,en
101325,English,en
10133,English,en
101330,English,en
101330,Français,fr
101338,Español,es
10134,English,en
101342,Français,fr
101342,Português,pt
10135,English,en
10135,Português,pt
101352,Français,fr
10136,Český,cs
10136,English,en
10136,Italiano,it
101362,Polski,pl
10137,English,en
101376,English,en
101376,فارسی,fa
101376,svenska,sv
10138,English,en
10138,Pусский,ru
10138,Français,fr
101382,日本語,ja
10139,English,en
10140,English,en
10141,English,en
10142,English,en
101420,English,en
101422,English,en
10144,English,en
10144,Français,fr
101444,English,en
101444,Italiano,it
101449,English,en
10145,English,en
10146,Deutsch,de
10147,English,en
101482,English,en
10149,English,en
10150,English,en
10150,Deutsch,de
101501,English,en
101503,English,en
101503,Français,fr
10151,Français,fr
10151,Deutsch,de
101514,English,en
101519,English,en
10152,English,en
10153,English,en
101538,English,en
10154,English,en
10155,English,en
101553,Italiano,it
101557,English,en
101557,Français,fr
101557,日本語,ja
101557,Italiano,it
10156,Français,fr
10156,Latin,la
10156,English,en
10157,English,en
10158,English,en
10159,Português,pt
10159,English,en
101598,English,en
10160,English,en
101609,English,en
10161,English,en
10162,English,en
10162,Gaeilge,ga
10162,Latin,la
10163,English,en
10164,English,en
10164,Magyar,hu
10165,English,en
101652,English,en
101652,Italiano,it
101653,English,en
10166,English,en
101660,English,en
101665,日本語,ja
101669,English,en
10167,English,en
10168,English,en
10169,English,en
10170,English,en
10170,Pусский,ru
10170,Español,es
10171,English,en
10171,Deutsch,de
101715,English,en
10172,English,en
101724,English,en
10173,English,en
101731,English,en
101733,日本語,ja
10174,English,en
10174,Français,fr
101740,日本語,ja
101752,日本語,ja
10176,English,en
101766,한국어/조선말,ko
10177,English,en
101772,English,en
101772,Deutsch,de
101772,Italiano,it
10178,English,en
101783,हिन्दी,hi
10179,English,en
1018,Español,es
1018,English,en
10180,Dansk,da
101801,Český,cs
101806,English,en
10183,English,en
10183,Français,fr
10183,اردو,ur
10183,普通话,zh
101838,suomi,fi
10184,English,en
10185,English,en
10185,Français,fr
101852,English,en
10186,English,en
10186,Français,fr
10187,English,en
10188,English,en
101887,English,en
101887,Pусский,ru
10189,English,en
10190,العربية,ar
10190,English,en
10190,Español,es
10190,Français,fr
101904,Français,fr
101908,普通话,zh
10191,English,en
101915,English,en
101916,English,en
101917,Nederlands,nl
101917,English,en
101917,Français,fr
10192,English,en
101929,日本語,ja
10193,English,en
10193,Español,es
10195,English,en
101956,English,en
10196,English,en
101965,日本語,ja
101968,English,en
10197,English,en
10197,Français,fr
10197,Italiano,it
10198,Français,fr
10198,English,en
10199,English,en
101995,Türkçe,tr
101998,English,en
102,Dansk,da
10200,普通话,zh
10200,English,en
102000,English,en
102000,Français,fr
102001,日本語,ja
10201,Eesti,et
10201,English,en
10201,한국어/조선말,ko
10202,English,en
102032,English,en
102032,Deutsch,de
102038,English,en
10204,Deutsch,de
10204,English,en
10204,Français,fr
10204,हिन्दी,hi
10204,Türkçe,tr
10204,广州话 / 廣州話,cn
102041,English,en
10205,English,en
102051,English,en
102057,English,en
102059,English,en
102059,Deutsch,de
102059,日本語,ja
10206,English,en
10207,English,en
102078,English,en
10208,English,en
102081,English,en
10209,العربية,ar
10209,English,en
10209,Français,fr
102091,English,en
10210,English,en
10212,English,en
10212,Italiano,it
10212,Español,es
10213,English,en
10214,English,en
102144,English,en
102144,Español,es
10215,English,en
102155,English,en
10216,English,en
102161,English,en
102165,English,en
10217,English,en
10217,Español,es
10218,English,en
10219,Deutsch,de
10219,日本語,ja
10219,English,en
102195,English,en
102197,Pусский,ru
10220,Pусский,ru
10220,English,en
10220,עִבְרִית,he
102207,Français,fr
10222,English,en
102222,English,en
102227,日本語,ja
10223,English,en
102234,suomi,fi
102242,English,en
10225,English,en
102256,svenska,sv
10226,Italiano,it
10226,English,en
10226,Français,fr
10227,English,en
10227,Français,fr
10227,Deutsch,de
102272,Deutsch,de
10228,日本語,ja
102286,English,en
102288,English,en
102289,English,en
10229,English,en
102292,עִבְרִית,he
102292,Français,fr
102292,العربية,ar
102295,English,en
1023,Dansk,da
102304,English,en
102305,Español,es
10232,Deutsch,de
102331,Pусский,ru
102331,עִבְרִית,he
102331,"",am
102331,Kiswahili,sw
102337,Bosanski,bs
10234,Deutsch,de
10235,Pусский,ru
10236,English,en
10236,Français,fr
102362,English,en
102362,Français,fr
102362,shqip,sq
102362,Español,es
102363,Pусский,ru
102368,Español,es
10237,English,en
10238,svenska,sv
102382,English,en
10239,Français,fr
1024,English,en
10241,Français,fr
102410,English,en
102419,English,en
10242,English,en
102420,English,en
102428,Español,es
10243,English,en
102431,English,en
10244,Deutsch,de
102444,English,en
10246,English,en
102461,Français,fr
10247,English,en
10248,Deutsch,de
102488,English,en
102489,English,en
102489,Français,fr
102489,Deutsch,de
102489,Español,es
10249,English,en
10251,English,en
10251,Français,fr
102517,English,en
102524,Italiano,it
102526,English,en
102527,suomi,fi
10253,English,en
10253,한국어/조선말,ko
102533,Français,fr
102533,English,en
10254,ภาษาไทย,th
10257,普通话,zh
10258,English,en
102597,English,en
10260,Français,fr
10261,English,en
102622,English,en
102629,English,en
102629,Español,es
10263,English,en
102630,English,en
102632,हिन्दी,hi
102639,English,en
10264,English,en
102640,English,en
10265,English,en
10265,日本語,ja
10265,한국어/조선말,ko
102651,English,en
102668,English,en
10268,Français,fr
10269,English,en
102691,Deutsch,de
102691,Pусский,ru
102699,English,en
10270,Deutsch,de
102707,Español,es
10271,Français,fr
10272,English,en
10274,English,en
10274,Italiano,it
10275,广州话 / 廣州話,cn
10275,普通话,zh
10276,English,en
10278,English,en
102780,English,en
102784,Português,pt
10279,English,en
10279,Italiano,it
10280,English,en
10281,English,en
102812,English,en
102814,English,en
10283,English,en
102831,Français,fr
102831,English,en
102841,English,en
10285,English,en
102851,فارسی,fa
102855,English,en
102858,English,en
102858,Polski,pl
102858,Pусский,ru
102860,Português,pt
102870,ελληνικά,el
102871,Italiano,it
102873,English,en
102873,Pусский,ru
102873,Español,es
102873,"",tn
102878,English,en
10288,English,en
102899,English,en
102901,Español,es
102909,Español,es
102913,Norsk,no
10292,English,en
10293,Français,fr
102931,English,en
102931,Deutsch,de
102933,English,en
102935,English,en
102938,English,en
10294,English,en
102947,English,en
102949,Italiano,it
102959,Italiano,it
10296,English,en
102961,English,en
10297,English,en
10299,English,en
103,English,en
103,Español,es
103012,English,en
103012,हिन्दी,hi
103012,isiZulu,zu
103014,English,en
10303,العربية,ar
10303,English,en
10304,English,en
103048,हिन्दी,hi
10305,Français,fr
10306,English,en
103066,日本語,ja
103067,Italiano,it
10307,English,en
10307,Italiano,it
10307,Português,pt
103073,"",mr
103073,हिन्दी,hi
10308,Deutsch,de
103081,English,en
10309,العربية,ar
10309,Deutsch,de
10310,Deutsch,de
10311,Deutsch,de
103119,Español,es
