id,release_date,budget,revenue,profit,avg_rating,total_ratings,std_dev,last_rated
100,1998-03-05,1350000.0,3897569.0,2547569.0,3.4285714285714284,21,0.9258200997725515,2000-12-10
10000,1993-12-25,,,,,,,
10001,1988-12-15,,,,,,,
100010,1940-12-27,,,,,,,
10003,1997-04-03,,1.18063304E8,,,,,
100046,2012-04-27,,,,,,,
100063,1978-08-25,,,,,,,
10009,2003-10-23,,,,,,,
10010,2006-08-17,,,,,,,
10011,2006-04-10,,,,,,,
100110,1988-09-09,,,,,,,
10012,2005-02-25,3.5E7,1.9294901E7,-1.5705099E7,,,,
10014,1985-10-31,3000000.0,2.9999213E7,2.6999213E7,,,,
100183,2012-01-01,3000000.0,,,,,,
100185,1990-08-02,,,,,,,
100205,1979-12-21,,,,,,,
100224,1976-10-30,34000.0,,,,,,
10023,1987-06-25,2.0E7,6.6673516E7,4.6673516E7,,,,
100243,2008-01-16,,,,,,,
100247,1911-04-08,,,,,,,
100257,1948-10-26,,,,,,,
100270,2011-10-07,,,,,,,
100271,2012-04-21,,6748712.0,,,,,
100275,2012-04-22,,1632.0,,,,,
10040,2005-03-11,,,,,,,
100402,2014-03-20,1.7E8,7.14766572E8,5.44766572E8,,,,
100420,1933-03-31,,,,,,,
10047,1999-10-18,6.0E7,6.6976317E7,6976317.0,,,,
10051,2006-02-15,,,,,,,
10052,2002-02-22,6.0E7,5.23224E7,-7677600.0,,,,
100528,1942-08-07,,,,,,,
100529,2012-04-24,,252603.0,,,,,
10054,2001-03-18,3.5E7,1.4793418E8,1.1293418E8,,,,
100540,2012-08-28,300000.0,,,,,,
100544,2013-01-22,,,,,,,
10055,2006-01-01,,,,,,,
100568,1999-10-08,,,,,,,
100605,1943-01-01,,,,,,,
100632,1949-11-26,,,,,,,
100634,2007-01-01,,,,,,,
100661,1959-11-01,,,,,,,
10067,2006-03-09,5.0E7,6.1112916E7,1.1112916E7,,,,
100671,1969-05-01,,,,,,,
10068,1986-02-14,1.7E7,6735922.0,-1.0264078E7,,,,
10073,2006-02-17,2.0E7,4.8548426E7,2.8548426E7,,,,
100747,1943-06-10,,,,,,,
10077,2005-05-15,,5989640.0,,,,,
100776,1970-01-01,,,,,,,
