id,release_date,budget,revenue,profit,avg_rating,total_ratings,std_dev,last_rated
100017,2006-08-06,,,,3.0,1,,2016-01-03
10002,1986-06-13,,5794184.0,,,,,
100024,2012-05-10,,,,,,,
100032,1990-11-11,,,,2.0,1,,2013-02-17
100033,1936-02-27,,,,,,,
10004,2006-05-23,,,,,,,
100042,2014-11-12,4.0E7,1.6983701E8,1.2983701E8,,,,
10005,2006-10-17,,,,,,,
100057,2012-05-18,,,,,,,
10006,2006-01-01,,,,,,,
100061,2007-10-06,,,,,,,
10007,2006-05-19,8000000.0,,,,,,
10008,2005-05-05,,,,,,,
100085,2005-04-27,,,,,,,
100086,2003-08-15,,,,,,,
100088,1972-12-20,,,,,,,
100089,2012-04-23,,,,,,,
100122,2000-05-31,,,,,,,
10013,1986-10-05,,4.1382841E7,,,,,
10015,1986-12-15,,4.2724017E7,,,,,
100152,2004-11-11,2000000.0,,,,,,
10016,2001-08-24,2.8E7,1.4010832E7,-1.3989168E7,,,,
100167,1996-09-01,,,,,,,
10017,1986-11-21,2700000.0,3500000.0,800000.0,,,,
100179,1965-04-23,,,,,,,
10018,1997-03-20,,,,,,,
10019,1987-02-13,6000000.0,4.2721196E7,3.6721196E7,,,,
100196,1997-09-05,,,,,,,
10020,1991-11-13,2.5E7,3.77350553E8,3.52350553E8,,,,
10021,1987-04-10,1.2E7,1.10996879E8,9.8996879E7,,,,
100215,1982-05-01,,,,,,,
10022,2005-03-04,5.6E7,1.1300688E8,5.700688E7,,,,
10024,2009-06-26,3.0E7,9.5714875E7,6.5714875E7,,,,
100241,2014-01-22,6.5E7,7.1154592E7,6154592.0,,,,
100246,1914-09-15,,,,,,,
10025,2006-05-12,,3.8159905E7,,,,,
100250,2002-04-27,,,,,,,
10027,2005-02-02,4.5E7,5.0871113E7,5871113.0,,,,
100272,2011-05-06,,,,4.0,1,,2016-07-22
100274,2011-10-10,,,,,,,
10028,2003-11-24,1.8E7,6.2646763E7,4.4646763E7,,,,
100287,2010-11-10,,,,,,,
100288,2007-06-15,,,,,,,
10029,1998-09-11,3.0E7,9898412.0,-2.0101588E7,,,,
100292,2010-11-24,,,,,,,
10030,2007-09-21,,5.9192128E7,,,,,
10032,2006-12-01,,6086508.0,,,,,
10033,2005-11-23,,5.0817508E7,,,,,
10034,2001-07-16,,,,,,,
100341,2011-01-04,,,,,,,
10035,2000-09-01,,,,,,,
100351,1965-02-10,,,,,,,
10036,2006-10-25,,,,,,,
10037,2006-06-27,,,,,,,
100409,2011-10-27,,,,,,,
10041,2006-01-01,,,,,,,
100416,2011-03-12,,,,,,,
10044,1985-02-10,,,,,,,
10045,2004-11-09,,9584131.0,,,,,
100450,2005-11-01,,,,3.5,1,,2013-03-18
10046,2004-02-09,5.3E7,,,,,,
100461,1962-03-21,,,,,,,
100468,1971-07-02,,,,,,,
10048,2005-07-28,1.35E8,7.6932943E7,-5.8067057E7,,,,
10049,2006-12-05,,,,,,,
100490,1994-11-13,,,,,,,
100493,2012-04-05,,,,,,,
10050,2001-03-08,1.0E7,,,,,,
100526,1942-12-04,,,,,,,
10053,2006-02-03,1.5E7,6.6966987E7,5.1966987E7,,,,
100532,2012-06-01,300000.0,,,,,,
10056,1955-09-21,75000.0,,,,,,
10057,1993-11-11,,5.3898845E7,,,,,
100592,1965-10-26,,,,,,,
100594,2003-03-06,,,,,,,
10060,2005-11-09,4.0E7,4.6442528E7,6442528.0,,,,
10061,1996-08-09,5.0E7,4.2277365E7,-7722635.0,,,,
10063,2006-05-17,,1675484.0,,,,,
10064,2005-07-29,,,,,,,
10065,2005-04-15,1.9E7,1.08047131E8,8.9047131E7,,,,
100656,1953-06-15,,,,,,,
10066,2005-04-30,4.0E7,6.8766121E7,2.8766121E7,,,,
100669,2008-01-01,,,,,,,
100681,2012-06-08,,,,,,,
100683,2012-05-10,3000000.0,,,,,,
10069,2006-03-24,9000000.0,2.7105095E7,1.8105095E7,,,,
10070,2005-10-14,,658573.0,,,,,
10071,2007-09-07,,,,,,,
10072,1987-02-27,5000000.0,4.4793222E7,3.9793222E7,,,,
10074,2007-08-03,,1.4334401E7,,,,,
10075,2007-01-26,,,,,,,
100770,1964-10-19,,,,,,,
10078,2007-05-18,,1752038.0,,,,,
100783,,,,,,,,
100791,2012-03-15,4000000.0,9938268.0,5938268.0,,,,
100794,1983-05-12,,,,,,,
10081,1987-09-18,,,,,,,
100812,1969-08-24,,,,,,,
100813,2012-03-07,,,,,,,
100814,1943-08-06,,,,,,,
100825,2011-06-22,,,,,,,
100829,2011-01-28,,,,,,,
10083,1987-08-14,,3.5509515E7,,,,,
10085,2006-10-22,,,,,,,
10086,1992-05-01,,,,,,,
10087,2005-04-13,,,,,,,
100898,2011-03-16,,,,,,,
10090,2007-02-23,1.0E7,2.0342161E7,1.0342161E7,,,,
100910,1943-12-29,,,,,,,
10092,2005-09-16,1000000.0,1.0047674E7,9047674.0,,,,
10094,2006-10-26,,,,,,,
10097,2006-09-26,,,,,,,
100973,2001-10-24,,,,,,,
100975,1999-10-21,3000000.0,,,,,,
10098,1921-01-21,,2500000.0,,,,,
101006,2008-10-30,,,,,,,
10102,1973-05-16,,,,,,,
101024,2012-01-20,,,,,,,
101030,1953-08-11,,,,,,,
10105,2003-09-11,780000.0,,,,,,
101056,2012-07-31,,,,,,,
10107,2007-04-04,,,,,,,
10109,2004-10-28,,,,,,,
10111,2006-05-05,,,,,,,
10112,1970-12-23,,5.5675257E7,,,,,
101124,2011-06-25,,,,,,,
101125,1993-04-12,,,,,,,
101135,1989-12-18,,,,,,,
10117,1988-02-12,7000000.0,2.0256975E7,1.3256975E7,,,,
101173,2011-02-14,,1072602.0,,,,,
101176,2012-08-04,,1081.0,,,,,
10118,2006-08-18,,1.1449638E7,,,,,
101185,1984-04-21,,,,,,,
10119,2004-08-27,,,,,,,
10120,2008-01-18,,,,,,,
101217,1975-04-01,,,,,,,
10122,1986-07-30,,1.8564613E7,,,,,
101230,1994-09-01,,,,,,,
101231,1975-10-30,,,,,,,
101242,2009-07-31,,,,,,,
10125,2002-06-24,,,,,,,
10126,1988-04-15,6000000.0,4.6616067E7,4.0616067E7,,,,
101267,2012-06-28,1.2E7,3.2726956E7,2.0726956E7,,,,
10127,1988-04-29,4500000.0,3813293.0,-686707.0,,,,
101281,1962-01-12,,,,,,,
101288,1958-05-22,,,,,,,
101293,1989-08-08,,,,,,,
101299,2013-11-15,1.3E8,8.47423452E8,7.17423452E8,,,,
10130,1988-09-23,2.2E7,,,,,,
101307,1972-11-22,,,,,,,
101308,1966-05-09,,,,,,,
10131,1988-08-19,7000000.0,7.25E7,6.55E7,,,,
10132,1988-12-21,,3468572.0,,,,,
101338,1999-06-17,,,,,,,
10135,1989-05-19,1.5E7,3.0050028E7,1.5050028E7,,,,
101352,2012-03-21,90000.0,,,,,,
101362,1966-07-20,,,,3.1,5,0.7416198487095662,2016-06-14
10137,1999-12-17,1.33E8,3.00135367E8,1.67135367E8,,,,
101376,2008-11-20,,,,,,,
101382,1946-12-17,,,,,,,
101383,1930-06-28,,,,,,,
10139,2008-11-26,2.0E7,5.4586584E7,3.4586584E7,,,,
10140,2010-08-13,1.55E8,4.15686217E8,2.60686217E8,,,,
10141,1988-12-14,,4.2039085E7,,,,,
101422,1975-04-25,,,,,,,
10144,1989-11-17,4.0E7,2.223E8,1.823E8,,,,
10146,1985-12-19,,,,,,,
10147,2003-11-26,2.3E7,7.6488889E7,5.3488889E7,,,,
101482,1928-06-20,,,,,,,
101501,2011-10-22,180000.0,175742.0,-4258.0,,,,
101503,1957-02-09,,,,,,,
10151,2005-08-07,,,,,,,
101514,2000-08-18,,,,,,,
10153,1998-02-13,7.5E7,1.31E7,-6.19E7,,,,
101538,1987-01-01,,,,,,,
10154,1999-08-16,,,,,,,
10155,1997-10-03,1.9E7,6682098.0,-1.2317902E7,,,,
101553,1966-08-25,,,,,,,
101557,1951-12-31,,,,,,,
10157,1985-03-28,,5.56E7,,,,,
10158,1992-03-26,,9.0753806E7,,,,,
10159,2003-09-26,8.5E7,8.0916492E7,-4083508.0,,,,
101598,1945-04-07,,,,,,,
10160,1989-08-11,,2.2168359E7,,,,,
101609,2009-11-12,,,,,,,
10161,1989-07-21,645180.0,1.4743391E7,1.4098211E7,,,,
10162,1998-09-15,,,,,,,
10163,1992-03-05,1.0E7,3.2101E7,2.2101E7,,,,
101652,1981-02-12,,,,,,,
101653,1950-12-20,,,,,,,
10166,1990-02-16,,1.5360553E7,,,,,
101669,2010-09-23,1.1E7,,,,,,
10168,1990-07-20,,,,,,,
10170,1990-12-19,2.2997992E7,,,,,,
10172,2007-04-04,,,,,,,
101724,2013-05-28,,,,,,,
10173,1990-10-05,1.2E7,4.60444E7,3.40444E7,,,,
10174,1991-05-10,4.0,29.0,25.0,,,,
101740,1971-09-11,,,,,,,
101752,2004-07-27,,,,,,,
10176,1985-09-08,1000000.0,,,,,,
101766,2010-06-24,,,,,,,
101791,2012-04-20,,,,,,,
1018,2001-05-16,1.5E7,2.0117339E7,5117339.0,3.4,10,0.9368979548370131,2016-08-03
101801,2002-03-07,,,,,,,
101806,1933-01-21,,,,,,,
101818,2006-02-24,,,,,,,
10183,2008-08-01,,,,,,,
101838,2005-08-26,,,,,,,
10184,2009-02-06,4.0E7,1.77259441E8,1.37259441E8,,,,
101852,2012-03-20,500000.0,,,,,,
10186,2008-08-20,1.5E7,8762890.0,-6237110.0,,,,
10187,2008-08-01,2.1E7,1.76E7,-3400000.0,,,,
10188,2008-08-06,2.7E7,4.4352417E7,1.7352417E7,,,,
101887,2003-10-23,,,,,,,
101897,1992-04-17,,,,,,,
10190,2008-09-12,,367638.0,,,,,
101904,2005-10-12,,,,3.5,1,,2013-04-17
101908,2005-06-03,,,,,,,
101915,2008-09-14,,,,,,,
101916,2006-02-20,,,,,,,
101917,2004-04-10,,,,,,,
10192,2010-05-16,1.65E8,7.52600867E8,5.87600867E8,,,,
101929,1957-10-23,,,,,,,
10193,2010-06-16,2.0E8,1.066969703E9,8.66969703E8,,,,
101956,2008-02-29,,,,,,,
10196,2010-06-30,1.5E8,3.18502923E8,1.68502923E8,,,,
10197,2009-12-03,8.0E7,5.3825515E7,-2.6174485E7,,,,
10198,2009-12-08,,2.67045765E8,,,,,
10199,2008-12-19,6.0E7,5.0877145E7,-9122855.0,,,,
102,2002-09-06,,,,2.590909090909091,11,1.0202495238465399,2003-08-28
102000,2012-02-13,,,,,,,
10202,2008-12-24,8.0E7,2.12874442E8,1.32874442E8,,,,
102032,1948-11-21,,,,,,,
102041,2012-04-08,,,,,,,
102053,2012-03-12,,,,,,,
10206,1992-07-24,7000000.0,1.6624456E7,9624456.0,,,,
10207,1999-02-22,8.0E7,1.18880016E8,3.8880016E7,,,,
102078,1958-01-15,,,,,,,
10208,1999-07-14,2.4E7,1.6290976E7,-7709024.0,,,,
102091,1953-10-30,,,,,,,
10213,1999-10-30,5000000.0,,,,,,
102144,1950-09-29,,,,,,,
102155,1962-03-21,,,,,,,
10216,1998-04-10,3.5E7,1.916556E7,-1.583444E7,,,,
102161,1952-01-19,,,,,,,
102165,1960-06-15,,,,2.0,1,,2014-04-06
10217,1997-05-14,5000000.0,3263585.0,-1736415.0,,,,
10218,1996-10-18,200000.0,4505922.0,4305922.0,,,,
102195,1966-10-26,,,,,,,
102198,2005-07-25,,,,,,,
10222,1989-04-20,1500000.0,1.4697005E7,1.3197005E7,,,,
102222,2012-05-11,5000000.0,,,,,,
102242,2000-06-10,,,,,,,
10225,1986-08-01,3000000.0,1.9472057E7,1.6472057E7,,,,
102256,2011-11-04,,,,,,,
10226,2003-06-18,,,,,,,
10227,1967-12-16,,,,,,,
102286,1964-11-08,,,,,,,
102292,2011-10-08,,,,,,,
102295,1955-02-09,3500000.0,,,,,,
102305,2007-06-21,,,,,,,
10232,1976-01-31,,,,,,,
102337,2003-04-16,,,,,,,
10234,1997-05-14,,,,,,,
